CTPRVN_CD,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,EMD_CD,EMD_KOR_NM
42,강원도,42110,춘천시,42110101,봉의동
42,강원도,42110,춘천시,42110102,요선동
42,강원도,42110,춘천시,42110103,낙원동
42,강원도,42110,춘천시,42110104,중앙로1가
42,강원도,42110,춘천시,42110105,중앙로2가
42,강원도,42110,춘천시,42110106,중앙로3가
42,강원도,42110,춘천시,42110107,옥천동
42,강원도,42110,춘천시,42110108,조양동
42,강원도,42110,춘천시,42110109,죽림동
42,강원도,42110,춘천시,42110110,운교동
42,강원도,42110,춘천시,42110111,약사동
42,강원도,42110,춘천시,42110112,효자동
42,강원도,42110,춘천시,42110113,소양로1가
42,강원도,42110,춘천시,42110114,소양로2가
42,강원도,42110,춘천시,42110115,소양로3가
42,강원도,42110,춘천시,42110116,소양로4가
42,강원도,42110,춘천시,42110117,근화동
42,강원도,42110,춘천시,42110118,우두동
42,강원도,42110,춘천시,42110119,사농동
42,강원도,42110,춘천시,42110120,후평동
42,강원도,42110,춘천시,42110121,온의동
42,강원도,42110,춘천시,42110122,교동
42,강원도,42110,춘천시,42110123,퇴계동
42,강원도,42110,춘천시,42110124,석사동
42,강원도,42110,춘천시,42110125,삼천동
42,강원도,42110,춘천시,42110126,칠전동
42,강원도,42110,춘천시,42110127,송암동
42,강원도,42110,춘천시,42110128,신동
42,강원도,42110,춘천시,42110129,중도동
42,강원도,42110,춘천시,42110250,신북읍
42,강원도,42110,춘천시,42110310,동면
42,강원도,42110,춘천시,42110320,동산면
42,강원도,42110,춘천시,42110330,신동면
42,강원도,42110,춘천시,42110340,남면
42,강원도,42110,춘천시,42110350,서면
42,강원도,42110,춘천시,42110360,사북면
42,강원도,42110,춘천시,42110380,북산면
42,강원도,42110,춘천시,42110390,동내면
42,강원도,42110,춘천시,42110400,남산면
42,강원도,42130,원주시,42130101,중앙동
42,강원도,42130,원주시,42130102,평원동
42,강원도,42130,원주시,42130103,원동
42,강원도,42130,원주시,42130104,인동
42,강원도,42130,원주시,42130105,개운동
42,강원도,42130,원주시,42130106,명륜동
42,강원도,42130,원주시,42130107,단구동
42,강원도,42130,원주시,42130108,일산동
42,강원도,42130,원주시,42130109,학성동
42,강원도,42130,원주시,42130110,단계동
42,강원도,42130,원주시,42130111,우산동
42,강원도,42130,원주시,42130112,태장동
42,강원도,42130,원주시,42130113,봉산동
42,강원도,42130,원주시,42130114,행구동
